year,month,Et
2011,10,
2011,11,2.614739005
2011,12,2.821763254
2012,1,1.922198196
2012,2,2.149016627
2012,3,1.192046846
2012,4,1.492774259
2012,5,2.070646551
2012,6,
2012,7,
2012,8,
2012,9,
2012,10,
2012,11,2.647893835
2012,12,2.338328046
2013,1,1.403960354
2013,2,0.937662088
2013,3,
2013,4,1.237911176
2013,5,1.543839184
2013,6,1.18846559
2013,7,1.327321032
2013,8,1.849821655
2013,9,2.443793793
2013,10,2.332394716
2013,11,2.33883006
2013,12,1.792026388
2014,1,1.32334848
2014,2,1.10028369
2014,3,0.985861121
2014,4,0.922843403
2014,5,1.458984574
2014,6,1.353755494
2014,7,1.547389973
2014,8,1.617405511
2014,9,2.044303581
2014,10,2.547465688
2014,11,2.6323853
2014,12,1.933903076
2015,1,1.611116762
2015,2,1.954209122
2015,3,2.082464385
2015,4,1.458320061
2015,5,1.19426605
2015,6,1.400002175
2015,7,1.532569331
2015,8,1.775445354
2015,9,1.873324677
2015,10,2.273875
2015,11,2.12413472
2015,12,1.616768064
2016,1,1.313737943
2016,2,1.160105
2016,3,1.031605358
2016,4,1.673994286
2016,5,1.528985269
2016,6,1.240414677
2016,7,1.322915461
2016,8,1.667918478
2016,9,1.925800105
2016,10,1.71722115
2016,11,1.515116944
2016,12,1.524579314
2017,1,1.494718453
2017,2,2.271848028
2017,3,2.023657573
2017,4,1.252893705
2017,5,1.389540229
2017,6,1.203153713
2017,7,1.837947703
2017,8,1.869684829
2017,9,2.387529838
2017,10,2.356773668
2017,11,2.498271579
2017,12,2.495826023
2018,1,2.479615316
2018,2,1.86114685
2018,3,1.354198146
2018,4,1.143447822
2018,5,1.134525416
2018,6,
2018,7,1.845555787
2018,8,1.963086609
2018,9,2.270921646
2018,10,2.37435958
2018,11,2.139330084
2018,12,1.797372008
2019,1,
2019,2,1.092356315
2019,3,0.925029281
2019,4,1.210157115
2019,5,0.950400701
2019,6,1.345187145
2019,7,1.350929716
2019,8,1.741309407
2019,9,1.973754003
2019,10,2.334888924
2019,11,2.419985968
2019,12,1.891352524
2020,1,1.3178958
2020,2,1.242382312
2020,3,1.535900725
2020,4,0.972458599
2020,5,1.292486052
2020,6,1.59585297
2020,7,1.371227497
2020,8,1.760480661
2020,9,2.035755801
2020,10,2.313197186
2020,11,2.779305074
2020,12,2.377162979
2021,1,1.636853273
2021,2,1.739052515
2021,3,1.829356041
2021,4,1.224194401
2021,5,1.297012669
2021,6,1.418126608
2021,7,2.109089599
2021,8,1.737205852
2021,9,2.069310181
2021,10,2.602872011
2021,11,2.71892435
2021,12,2.324894854
2022,1,1.541237627
2022,2,1.067832772
2022,3,1.254224921
2022,4,1.484310978
2022,5,1.526398747
2022,6,1.6957405
2022,7,1.72150911
2022,8,
2022,9,2.062084936
2022,10,
