year,month,ET
2011,10,
2011,11,2.793829783
2011,12,3.06547244
2012,1,2.229747574
2012,2,2.409888643
2012,3,1.511965013
2012,4,1.100905597
2012,5,1.509550367
2012,6,
2012,7,
2012,8,
2012,9,
2012,10,
2012,11,2.458819223
2012,12,2.614422713
2013,1,1.805299444
2013,2,1.259176712
2013,3,
2013,4,1.226003548
2013,5,1.200967225
2013,6,1.086255283
2013,7,1.029931459
2013,8,1.27095203
2013,9,1.859294156
2013,10,2.097165221
2013,11,2.384816164
2013,12,2.105883237
2014,1,1.55952975
2014,2,1.476207819
2014,3,1.189521191
2014,4,1.019626688
2014,5,1.054584964
2014,6,1.103152324
2014,7,1.172960879
2014,8,1.251675517
2014,9,1.489431657
2014,10,2.221113515
2014,11,2.47993827
2014,12,2.410839562
2015,1,1.636156363
2015,2,2.238580062
2015,3,1.967499891
2015,4,1.524038987
2015,5,1.236370105
2015,6,1.208300803
2015,7,1.143759282
2015,8,1.452099748
2015,9,1.751678403
2015,10,1.957605857
2015,11,2.208809271
2015,12,
2016,1,
2016,2,1.418089512
2016,3,1.378949184
2016,4,1.542740991
2016,5,1.161960754
2016,6,1.001714868
2016,7,1.225498212
2016,8,1.353559955
2016,9,1.779830534
2016,10,2.05709171
2016,11,2.424482562
2016,12,2.469564034
2017,1,1.954055874
2017,2,2.654452802
2017,3,1.921602246
2017,4,1.350622661
2017,5,1.175074661
2017,6,1.158373932
2017,7,1.12463806
2017,8,1.475095576
2017,9,1.707348137
2017,10,2.089660672
2017,11,2.405076114
2017,12,2.62505801
2018,1,2.554529183
2018,2,2.085162638
2018,3,1.470849907
2018,4,1.151236987
2018,5,0.974238621
2018,6,0.581916965
2018,7,1.145018364
2018,8,1.417220112
2018,9,1.801588842
2018,10,2.076161267
2018,11,2.345075004
2018,12,2.13552036
2019,1,
2019,2,1.588744851
2019,3,1.292643508
2019,4,1.311970123
2019,5,1.022479774
2019,6,1.006766076
2019,7,1.059717294
2019,8,1.432496457
2019,9,1.765771395
2019,10,2.184039102
2019,11,2.532764512
2019,12,1.829055109
2020,1,1.843877914
2020,2,1.57263307
2020,3,1.591749531
2020,4,1.150994043
2020,5,1.187611064
2020,6,1.12822898
2020,7,1.129868769
2020,8,1.500570276
2020,9,1.622345152
2020,10,2.145914554
2020,11,2.494001468
2020,12,2.794948452
2021,1,
2021,2,1.964721573
2021,3,1.895048002
2021,4,1.229447723
2021,5,1.156169974
2021,6,1.127404686
2021,7,1.639564216
2021,8,1.453477596
2021,9,1.797577406
2021,10,2.05786941
2021,11,2.743738126
2021,12,2.504716415
2022,1,1.947539025
2022,2,1.407359726
2022,3,1.428723132
2022,4,1.502349558
2022,5,1.375702468
2022,6,1.183188986
2022,7,1.165871107
2022,8,
2022,9,1.70364406
2022,10,
