year,month,ET
2011,10,
2011,11,2.807670027
2011,12,3.290062935
2012,1,2.19018679
2012,2,2.418297151
2012,3,1.466676112
2012,4,1.092511166
2012,5,1.457251293
2012,6,
2012,7,
2012,8,
2012,9,
2012,10,
2012,11,2.494246526
2012,12,2.640709865
2013,1,1.729811437
2013,2,1.203490992
2013,3,
2013,4,1.229902364
2013,5,1.182244702
2013,6,1.071184379
2013,7,0.991235605
2013,8,1.250301781
2013,9,1.794266534
2013,10,2.086737867
2013,11,2.379944909
2013,12,2.254377015
2014,1,1.540365212
2014,2,1.375273635
2014,3,1.117921971
2014,4,0.987747071
2014,5,1.031076953
2014,6,1.084234832
2014,7,1.13643325
2014,8,1.230806807
2014,9,1.455750692
2014,10,2.16934543
2014,11,2.500516545
2014,12,2.652258536
2015,1,1.657387423
2015,2,2.181894024
2015,3,1.974452943
2015,4,1.471424087
2015,5,1.219851479
2015,6,1.186058996
2015,7,1.093077384
2015,8,1.412415971
2015,9,1.72808797
2015,10,2.021938662
2015,11,2.09434809
2015,12,
2016,1,
2016,2,1.388759864
2016,3,1.239534176
2016,4,1.420673321
2016,5,1.08539373
2016,6,0.87005203
2016,7,1.002334049
2016,8,1.124747302
2016,9,1.462807896
2016,10,1.842440603
2016,11,2.187441362
2016,12,2.58123021
2017,1,1.669358725
2017,2,2.64200339
2017,3,2.037843715
2017,4,1.456833769
2017,5,1.202211853
2017,6,1.11672459
2017,7,1.116083287
2017,8,1.446109617
2017,9,1.777668122
2017,10,2.060901754
2017,11,2.606069899
2017,12,2.555560527
2018,1,2.226262399
2018,2,2.202285138
2018,3,1.657567994
2018,4,1.15275726
2018,5,0.978945199
2018,6,0.562314889
2018,7,1.122038089
2018,8,1.419268199
2018,9,1.905752901
2018,10,2.061790721
2018,11,2.46869879
2018,12,1.914683913
2019,1,
2019,2,1.657009118
2019,3,1.329923612
2019,4,1.326637149
2019,5,0.991592659
2019,6,0.972516586
2019,7,1.032901803
2019,8,1.39325919
2019,9,1.818529093
2019,10,2.072497392
2019,11,2.682067941
2019,12,1.921365279
2020,1,1.543748244
2020,2,1.607401812
2020,3,1.564200478
2020,4,1.201912057
2020,5,1.18076316
2020,6,1.151779961
2020,7,1.134306058
2020,8,1.554523046
2020,9,1.647309234
2020,10,2.155708434
2020,11,2.538487521
2020,12,2.537092574
2021,1,
2021,2,2.02489878
2021,3,1.980879353
2021,4,1.488510414
2021,5,1.213879421
2021,6,1.17905036
2021,7,1.697393121
2021,8,1.489186103
2021,9,1.865086944
2021,10,2.220086559
2021,11,2.767938457
2021,12,2.342685065
2022,1,1.781944444
2022,2,1.623879635
2022,3,1.532554601
2022,4,1.52282057
2022,5,1.395531304
2022,6,1.14217826
2022,7,1.177052562
2022,8,
2022,9,1.814238368
2022,10,
