year,month,ET
2011,10,
2011,11,2.39772509
2011,12,2.571940731
2012,1,1.738043703
2012,2,1.966259311
2012,3,1.064830331
2012,4,1.293728252
2012,5,1.402086909
2012,6,
2012,7,
2012,8,1.804647677
2012,9,
2012,10,
2012,11,2.344351418
2012,12,2.18364731
2013,1,1.215206478
2013,2,0.815506571
2013,3,
2013,4,1.321004478
2013,5,1.40544015
2013,6,1.294479196
2013,7,1.516653873
2013,8,1.89382748
2013,9,2.169298806
2013,10,2.285711328
2013,11,2.276747569
2013,12,1.701511698
2014,1,1.323115211
2014,2,1.0324459
2014,3,0.885171544
2014,4,0.862073607
2014,5,1.483207892
2014,6,1.433368554
2014,7,1.749521185
2014,8,1.668563818
2014,9,1.564316371
2014,10,2.1519618
2014,11,2.350031984
2014,12,1.838469058
2015,1,1.524822393
2015,2,1.83473205
2015,3,1.922382726
2015,4,1.345819667
2015,5,1.182033277
2015,6,1.51110357
2015,7,1.581661617
2015,8,1.877754808
2015,9,1.98428472
2015,10,2.20791028
2015,11,1.967450975
2015,12,
2016,1,1.102203231
2016,2,1.0563753
2016,3,0.91204608
2016,4,1.698410665
2016,5,1.535605909
2016,6,1.514710951
2016,7,1.619053921
2016,8,1.745448109
2016,9,1.935980637
2016,10,1.65011479
2016,11,1.245764681
2016,12,1.289426779
2017,1,1.252590007
2017,2,2.073702538
2017,3,1.864859682
2017,4,1.156891497
2017,5,
2017,6,1.188635507
2017,7,1.706566944
2017,8,1.909043734
2017,9,2.153890235
2017,10,2.327244429
2017,11,2.358602008
2017,12,2.234312736
2018,1,2.30389839
2018,2,1.77636126
2018,3,1.300430141
2018,4,1.080142424
2018,5,1.119893866
2018,6,0.786812373
2018,7,1.741264084
2018,8,1.84126684
2018,9,2.131647867
2018,10,2.252100274
2018,11,2.087126946
2018,12,1.549989155
2019,1,
2019,2,0.856401718
2019,3,0.886768934
2019,4,1.061057409
2019,5,0.941127253
2019,6,1.377689515
2019,7,1.340922294
2019,8,1.844248651
2019,9,1.907777707
2019,10,2.188968659
2019,11,2.265823896
2019,12,1.774279422
2020,1,1.236582324
2020,2,1.120936358
2020,3,1.547391577
2020,4,0.996600432
2020,5,1.358801616
2020,6,1.745403704
2020,7,1.602517751
2020,8,1.779132225
2020,9,2.230727501
2020,10,2.292273043
2020,11,2.655653862
2020,12,2.270781656
2021,1,
2021,2,1.608538475
2021,3,1.690297193
2021,4,1.117115047
2021,5,1.359283917
2021,6,1.509150157
2021,7,2.072414149
2021,8,1.872357074
2021,9,2.10087764
2021,10,2.572252464
2021,11,2.601661437
2021,12,2.164614037
2022,1,1.446730417
2022,2,0.851102441
2022,3,1.157488285
2022,4,1.457973031
2022,5,1.340002907
2022,6,1.531438942
2022,7,1.676205607
2022,8,
2022,9,1.986922558
2022,10,
