,year,month,ET
0,2011,10,
1,2011,11,1.1717183837748373
2,2011,12,0.0
3,2012,1,4.315796178803175
4,2012,2,0.5886806532396032
5,2012,3,3.649908451406679
6,2012,4,0.16587573524434576
7,2012,5,0.35466764332120615
8,2012,6,0.04601705731017676
9,2012,7,0.7426930740301529
10,2012,8,0.34596514249403293
11,2012,9,2.6445817648855594
12,2012,10,3.4940395340201267
13,2012,11,
14,2012,12,
15,2013,1,0.7087095932616003
16,2013,2,0.0026592945750181897
17,2013,3,
18,2013,4,
19,2013,5,0.42999282072382555
20,2013,6,0.443692543528448
21,2013,7,0.38397879278623964
22,2013,8,0.5974609122204052
23,2013,9,
24,2013,10,1.6642118588799752
25,2013,11,2.0011482494934896
26,2013,12,1.5854212325395969
27,2014,1,3.9282920346460863
28,2014,2,0.706650166649364
29,2014,3,1.0993319904266843
30,2014,4,0.0
31,2014,5,0.69934009152811
32,2014,6,0.6736823288639527
33,2014,7,0.5714519542056085
34,2014,8,0.20011365137711837
35,2014,9,2.1080173322035867
36,2014,10,1.0350177958196205
37,2014,11,0.8746806660065649
38,2014,12,4.252221252980641
39,2015,1,1.179872116318737
40,2015,2,1.4994843184966806
41,2015,3,1.2112833611856715
42,2015,4,1.1633690887479498
43,2015,5,0.44512505957834597
44,2015,6,0.6476586014928993
45,2015,7,0.3226422688351764
46,2015,8,0.8984052170872252
47,2015,9,1.949515250841488
48,2015,10,1.9414345970661484
49,2015,11,0.06777236708894761
50,2015,12,0.657060124262718
51,2016,1,3.8740299231270963
52,2016,2,1.8978195012972072
53,2016,3,1.0631507553744806
54,2016,4,1.0039633241388166
55,2016,5,0.6288244013187354
56,2016,6,0.3267211382731993
57,2016,7,0.375647225592465
58,2016,8,0.6689396148443519
59,2016,9,
60,2016,10,0.9892699465319404
61,2016,11,3.9183652292952957
62,2016,12,1.2542169913132533
63,2017,1,2.218388117316617
64,2017,2,0.849396123555997
65,2017,3,1.2835260491924838
66,2017,4,0.27759919691332663
67,2017,5,0.23464642564970015
68,2017,6,0.14923594715556446
69,2017,7,
70,2017,8,
71,2017,9,0.8788308450082849
72,2017,10,1.0159332444507803
73,2017,11,2.0507934241933277
74,2017,12,0.15449575615824687
75,2018,1,1.4065695504774876
76,2018,2,3.96635434865161
77,2018,3,0.5415582992760091
78,2018,4,0.41903539187941835
79,2018,5,0.3828925386178721
80,2018,6,0.30841671842211893
81,2018,7,0.31622613076801953
82,2018,8,0.3179000504341539
83,2018,9,
84,2018,10,0.6440032423481609
85,2018,11,0.08448075557907547
86,2018,12,1.497401779103257
87,2019,1,4.486533692101792
88,2019,2,0.0
89,2019,3,1.3298377434343316
90,2019,4,0.30799916817735845
91,2019,5,
92,2019,6,0.0
93,2019,7,0.39644209742156156
94,2019,8,0.5521781261014727
95,2019,9,1.130771219749489
96,2019,10,0.9757058052777784
97,2019,11,6.2211700323752765
98,2019,12,3.3381804508249657
99,2020,1,1.3422217689059743
100,2020,2,0.025839978506920356
101,2020,3,0.13522466447603634
102,2020,4,0.3989921085826516
103,2020,5,0.0
104,2020,6,0.3697566934541572
105,2020,7,0.3283637451366555
106,2020,8,
107,2020,9,0.159756437610677
108,2020,10,0.3515547084884815
109,2020,11,
110,2020,12,1.1922944499191057
111,2021,1,0.3668771981508986
112,2021,2,1.1991145926554065
113,2021,3,0.17231644472746735
114,2021,4,0.37107222787251004
115,2021,5,0.3407016377246179
116,2021,6,0.5013668873574321
117,2021,7,
118,2021,8,0.5609991136677704
119,2021,9,
120,2021,10,
121,2021,11,0.8703291658391531
122,2021,12,1.3666443148086034
123,2022,1,0.7702731388734428
124,2022,2,0.5070097126143991
125,2022,3,0.0
126,2022,4,0.14991882253883976
127,2022,5,0.34285408348012414
128,2022,6,0.16442642838332253
129,2022,7,0.23844131204325683
130,2022,8,0.7697776392771064
131,2022,9,0.9792949253925735
132,2022,10,0.4116030145820895
